glyph_name,ps_name,sort_final,sort_g,sort_ssp
uniE608,uniE608,1675,1008,
uniE609,uniE609,1676,1009,
uniE60A,uniE60A,1677,1010,
uniE60B,uniE60B,1678,1011,
uniE60C,uniE60C,1679,1012,
uniE60D,uniE60D,1680,1013,
uniE60E,uniE60E,1681,1014,
uniE60F,uniE60F,1682,1015,
uniE610,uniE610,1683,1016,
uniE611,uniE611,1684,1017,
uniE612,uniE612,1685,1018,
uniE613,uniE613,1686,1019,
uniE614,uniE614,1687,1020,
uniE615,uniE615,1688,1021,
uniE616,uniE616,1689,1022,
uniE617,uniE617,1690,1023,
uniE618,uniE618,1691,1024,
uniE619,uniE619,1692,1025,
uniE61A,uniE61A,1693,1026,
uniE61B,uniE61B,1694,1027,
uniE61C,uniE61C,1695,1028,
uniE61D,uniE61D,1696,1029,
uniE61E,uniE61E,1697,1030,
uniE61F,uniE61F,1698,1031,
